Accession	Gene	protein_logFC	protein_padj	gene_logFC	gene_padj	Groups
Q96HC4	PDLIM5	-0.3316	0.0038	0.3503	0.0428	Up transcriptome/Down proteome
Q12841	FSTL1	0.5033	0.0038	-0.2669	1e-4	Down transcriptome/Up proteome
Q6ZUT6	CCDC9B	-0.9027	0.0039	1.4651	0	Up transcriptome/Down proteome
Q9BTU6	PI4K2A	-0.3146	0.0039	0.5404	0	Up transcriptome/Down proteome
Q8IV38	ANKMY2	-0.4721	0.0039	-0.7882	1e-4	Down/Down
Q9Y4A5	TRRAP	-0.4772	0.0039	-0.5056	0.0014	Down/Down
Q2PPJ7	RALGAPA2	-0.7843	0.004	-0.7091	0	Down/Down
Q96GA7	SDSL	-0.4372	0.004	-0.6849	1e-4	Down/Down
Q96DV4	MRPL38	0.3905	0.004	0.4835	0	Up/Up
Q9Y3C1	NOP16	-0.4206	0.004	1.3021	0.0043	Up transcriptome/Down proteome
P49247	RPIA	1.0466	0.004	0.5974	1e-4	Up/Up
P21741	MDK	-0.3965	0.004	-0.4727	0	Down/Down
P00533	EGFR	0.3091	0.004	0.3421	0.001	Up/Up
Q9UI08	EVL	-0.9216	0.004	-0.7689	0	Down/Down
Q9UBW8	COPS7A	0.4812	0.0041	0.3651	2e-4	Up/Up
Q9H3Z4	DNAJC5	0.3489	0.0041	0.9054	0	Up/Up
P49069	CAMLG	-0.5748	0.0041	-0.9582	0	Down/Down
Q9H7B2	RPF2	-0.3818	0.0041	0.4704	0	Up transcriptome/Down proteome
Q9UG01	IFT172	-0.3307	0.0041	-0.9485	0	Down/Down
Q8WUM4	PDCD6IP	0.2167	0.0042	0.3347	0.0368	Up/Up
P07711	CTSL	-0.9192	0.0042	-1.586	0	Down/Down
Q9NZ53	PODXL2	0.8043	0.0042	0.6936	0	Up/Up
P62701	RPS4X	-0.205	0.0042	-0.1746	9e-4	Down/Down
P08865	RPSA	-0.2687	0.0043	0.1889	0.0493	Up transcriptome/Down proteome
Q13795	ARFRP1	0.6863	0.0043	3.6511	0.0027	Up/Up
Q5SW79	CEP170	-0.5171	0.0043	-0.7543	0.0012	Down/Down
Q9Y230	RUVBL2	0.2104	0.0043	0.4307	0	Up/Up
O75368	SH3BGRL	0.2853	0.0043	-0.8586	0	Down transcriptome/Up proteome
P31150	GDI1	0.4308	0.0043	0.2608	1e-4	Up/Up
P37173	TGFBR2	-1.2632	0.0043	-0.4719	0	Down/Down
Q9Y4A0	JRKL	-0.5994	0.0043	-0.8145	0.0062	Down/Down
Q8IZ81	ELMOD2	-0.3354	0.0043	-0.778	0	Down/Down
Q14151	SAFB2	-0.4668	0.0043	0.2239	0.0289	Up transcriptome/Down proteome
Q99828	CIB1	0.7312	0.0044	0.6286	0	Up/Up
Q9Y5P6	GMPPB	0.2676	0.0044	0.8802	0	Up/Up
Q969S9	GFM2	-0.5485	0.0044	-1.2011	0	Down/Down
P36959	GMPR	1.0776	0.0045	2.8631	0	Up/Up
Q9H9A5	CNOT10	-0.545	0.0045	0.2591	0.0109	Up transcriptome/Down proteome
P46778	RPL21	-0.3167	0.0045	-0.4833	0	Down/Down
Q9H2V7	SPNS1	0.3795	0.0045	0.2125	0.0402	Up/Up
Q9BX40	LSM14B	-0.3634	0.0045	0.4296	0	Up transcriptome/Down proteome
Q9BUE6	ISCA1	-0.6639	0.0045	-0.7758	0	Down/Down
Q9Y4D1	DAAM1	0.5595	0.0046	-0.9377	0	Down transcriptome/Up proteome
Q92667	AKAP1	-0.6471	0.0046	0.4234	0	Up transcriptome/Down proteome
Q9HA65	TBC1D17	-0.4466	0.0046	-0.4494	0	Down/Down
O43683	BUB1	-0.9196	0.0047	-0.3477	0	Down/Down
Q15020	SART3	-0.4693	0.0047	-0.3934	0.0148	Down/Down
Q53HL2	CDCA8	-0.9881	0.0047	0.5731	0	Up transcriptome/Down proteome
P18084	ITGB5	-0.2557	0.0047	0.8816	0	Up transcriptome/Down proteome
Q9HA64	FN3KRP	-0.6516	0.0047	0.2177	0.0197	Up transcriptome/Down proteome
P56192	MARS1	-0.2147	0.0047	-1.411	0	Down/Down
P23588	EIF4B	-0.2938	0.0047	-0.7566	0	Down/Down
P49407	ARRB1	1.7995	0.0047	1.0004	0	Up/Up
Q9NRY5	FAM114A2	-0.8284	0.0047	-0.5714	0.0093	Down/Down
P54098	POLG	0.6638	0.0047	0.828	0	Up/Up
Q9Y6B6	SAR1B	-0.4232	0.0047	-0.4731	0.0203	Down/Down
Q5T8D3	ACBD5	0.3971	0.0048	-0.4132	3e-4	Down transcriptome/Up proteome
P60174	TPI1	0.2453	0.0048	0.1917	0.0129	Up/Up
P20337	RAB3B	1.154	0.0049	0.6607	0	Up/Up
Q13257	MAD2L1	-0.3219	0.0049	0.3532	0.015	Up transcriptome/Down proteome
Q8TAF3	WDR48	-0.6366	0.0049	-0.6223	0	Down/Down
P28676	GCA	0.379	0.0049	-0.5635	0.0094	Down transcriptome/Up proteome
O60238	BNIP3L	0.4852	0.0049	-0.5208	0	Down transcriptome/Up proteome
Q99871	HAUS7	-0.7481	0.005	0.9414	2e-4	Up transcriptome/Down proteome
O43805	SSNA1	-2.1234	0.005	-0.2878	0.0249	Down/Down
Q14168	MPP2	0.5516	0.005	0.4084	0.0011	Up/Up
Q9BQD3	KXD1	0.7194	0.005	0.7127	0	Up/Up
O15211	RGL2	0.5958	0.005	0.4989	0	Up/Up
Q9NS23	RASSF1	-0.785	0.005	0.582	1e-4	Up transcriptome/Down proteome
Q12768	WASHC5	-0.546	0.005	-0.6556	0	Down/Down
O75962	TRIO	-0.2974	0.005	1.2838	0	Up transcriptome/Down proteome
Q4LE39	ARID4B	-1.1894	0.005	-0.8148	0	Down/Down
O15084	ANKRD28	-0.469	0.0051	-0.4512	1e-4	Down/Down
Q9BU23	LMF2	-0.6276	0.0051	0.676	0	Up transcriptome/Down proteome
O60936	NOL3	0.8063	0.0051	0.4626	0.0021	Up/Up
Q9H8N7	ZNF395	0.8059	0.0051	0.9148	0	Up/Up
Q15061	WDR43	-0.774	0.0052	0.5924	0	Up transcriptome/Down proteome
Q96Q42	ALS2	-1.517	0.0052	-0.4823	1e-4	Down/Down
Q96PC5	MIA2	0.6952	0.0052	-0.4195	0.0095	Down transcriptome/Up proteome
Q9UJX5	ANAPC4	-0.5525	0.0052	0.5709	0.0073	Up transcriptome/Down proteome
Q9Y2W2	WBP11	-0.4117	0.0053	0.3613	0	Up transcriptome/Down proteome
Q92542	NCSTN	-0.3205	0.0053	-0.3813	3e-4	Down/Down
O15127	SCAMP2	0.4132	0.0053	0.672	1e-4	Up/Up
Q53FT3	HIKESHI	0.4624	0.0054	-0.3388	0.021	Down transcriptome/Up proteome
Q9BV38	WDR18	-0.3586	0.0054	0.2056	0.0479	Up transcriptome/Down proteome
O15173	PGRMC2	0.2303	0.0054	-0.3447	0.0027	Down transcriptome/Up proteome
Q96GK7	FAHD2A	0.9077	0.0054	0.836	0	Up/Up
P58546	MTPN	0.3891	0.0054	0.2557	0.0274	Up/Up
Q03111	MLLT1	-0.8155	0.0055	0.8302	0	Up transcriptome/Down proteome
P31943	HNRNPH1	-0.2672	0.0055	-0.763	0	Down/Down
Q6NYC1	JMJD6	-0.6339	0.0055	0.7496	0	Up transcriptome/Down proteome
Q9H4I9	SMDT1	0.5468	0.0055	-0.4338	0.0396	Down transcriptome/Up proteome
Q9NYP9	MIS18A	-0.8356	0.0055	-0.6247	0	Down/Down
Q6P1L8	MRPL14	0.5057	0.0055	0.8055	0	Up/Up
A0AV96	RBM47	-0.73	0.0056	-1.5916	0	Down/Down
Q9UEW8	STK39	1.0466	0.0056	0.3954	2e-4	Up/Up
P37235	HPCAL1	0.3781	0.0056	1.2842	0	Up/Up
Q9BQA9	CYBC1	0.4451	0.0056	0.3966	0	Up/Up
Q96GX2	ATXN7L3B	0.4337	0.0056	-0.5258	0	Down transcriptome/Up proteome
Q9Y6H3	ATP23	-0.5642	0.0057	-1.1729	0	Down/Down
Q5M775	SPECC1	-0.911	0.0057	0.2356	2e-4	Up transcriptome/Down proteome
P37198	NUP62	-0.4746	0.0057	0.4492	0	Up transcriptome/Down proteome
Q9H488	POFUT1	0.2389	0.0057	0.152	0.014	Up/Up
P20933	AGA	1.3528	0.0058	-0.8244	0	Down transcriptome/Up proteome
P50991	CCT4	-0.2278	0.0058	0.2232	1e-4	Up transcriptome/Down proteome
Q16777	H2AC20	2.6217	0.0058	-0.7693	0.0484	Down transcriptome/Up proteome
O15063	GARRE1	-0.9437	0.0058	-0.3739	0.0123	Down/Down
O00567	NOP56	-0.3732	0.0058	0.582	0	Up transcriptome/Down proteome
Q7L8L6	FASTKD5	-0.4208	0.0058	-0.5334	0	Down/Down
O43181	NDUFS4	-0.7933	0.0059	-0.9718	0	Down/Down
Q8IVT2	MISP	-0.3425	0.0059	0.4697	0	Up transcriptome/Down proteome
P78406	RAE1	0.1993	0.0059	0.3804	0	Up/Up
Q13415	ORC1	-1.2942	0.0059	0.6471	0	Up transcriptome/Down proteome
Q99848	EBNA1BP2	-0.3979	0.0059	0.6672	0	Up transcriptome/Down proteome
A0JNW5	UHRF1BP1L	-0.7069	0.0059	-1.09	0	Down/Down
Q9H944	MED20	-0.4226	0.0059	0.3395	0.0035	Up transcriptome/Down proteome
Q9H6L5	RETREG1	-0.6132	0.0059	-1.3171	0	Down/Down
Q08380	LGALS3BP	0.4268	0.0059	0.1651	1e-4	Up/Up
P13473	LAMP2	-0.3539	0.0059	-0.4416	0	Down/Down
P50502	ST13	-0.2055	0.0059	-0.225	0.0064	Down/Down
Q8TDR2	STK35	0.6027	0.006	0.7024	0	Up/Up
Q9Y2H0	DLGAP4	0.3666	0.006	0.4287	0	Up/Up
Q9BS18	ANAPC13	-1.3116	0.006	0.3449	3e-4	Up transcriptome/Down proteome
Q9Y6Q2	STON1	-0.9311	0.006	-2.8783	0	Down/Down
Q9Y535	POLR3H	0.6127	0.0061	0.4184	0	Up/Up
Q9UBI6	GNG12	0.5313	0.0062	0.6443	0	Up/Up
Q06481	APLP2	0.6239	0.0062	0.1875	2e-4	Up/Up
Q99829	CPNE1	0.3912	0.0062	0.4375	0	Up/Up
Q9BSQ5	CCM2	-0.7154	0.0062	0.2801	0.001	Up transcriptome/Down proteome
O60884	DNAJA2	0.3601	0.0063	0.4274	0	Up/Up
P63241	EIF5A	0.3112	0.0063	0.7875	0	Up/Up
A4D1S5	RAB19	-0.6678	0.0063	0.6908	0.0362	Up transcriptome/Down proteome
P37802	TAGLN2	0.2079	0.0063	0.4813	0	Up/Up
Q8TDM6	DLG5	0.4332	0.0063	1.0401	0	Up/Up
Q9BRP4	PAAF1	0.5386	0.0063	-0.3336	0.0323	Down transcriptome/Up proteome
Q86Y56	DNAAF5	0.2366	0.0063	0.4237	0	Up/Up
Q96JM2	ZNF462	-0.6679	0.0063	0.7998	0	Up transcriptome/Down proteome
Q8N8R7	ARL14EP	-0.845	0.0063	-0.4098	0.0057	Down/Down
P78560	CRADD	-1.6061	0.0063	-1.1704	0	Down/Down
O14678	ABCD4	-0.9634	0.0064	-0.399	6e-4	Down/Down
Q8NC60	NOA1	-0.7416	0.0064	-0.3619	0	Down/Down
Q7L8J4	SH3BP5L	0.5744	0.0064	-0.3465	0	Down transcriptome/Up proteome
Q8WVY7	UBLCP1	-0.474	0.0066	-0.5806	1e-4	Down/Down
O95490	ADGRL2	0.3821	0.0067	0.6411	0	Up/Up
Q13137	CALCOCO2	0.3516	0.0067	-0.5915	3e-4	Down transcriptome/Up proteome
Q9Y617	PSAT1	-0.1699	0.0067	-1.5952	0	Down/Down
O14647	CHD2	-0.8492	0.0068	-0.6914	1e-4	Down/Down
P21860	ERBB3	1.0827	0.0068	-1.3798	0	Down transcriptome/Up proteome
Q8N9F7	GDPD1	0.7296	0.0068	-1.4528	0	Down transcriptome/Up proteome
Q7Z3F1	GPR155	0.4447	0.0069	-1.0032	0.0456	Down transcriptome/Up proteome
Q9NR46	SH3GLB2	-0.3666	0.0069	-0.4699	0	Down/Down
Q7Z739	YTHDF3	-0.2742	0.0069	0.3761	0.0037	Up transcriptome/Down proteome
Q13895	BYSL	-0.4744	0.007	0.9266	0	Up transcriptome/Down proteome
O60725	ICMT	-0.4352	0.007	0.3131	0	Up transcriptome/Down proteome
Q02108	GUCY1A1	-0.5683	0.0072	-2.6505	0	Down/Down
P01127	PDGFB	1.2205	0.0072	1.3363	0	Up/Up
Q03393	PTS	1.0548	0.0072	0.542	0.0047	Up/Up
Q9UBV2	SEL1L	-0.3313	0.0072	-0.3086	0.0086	Down/Down
O95644	NFATC1	1.5828	0.0072	0.7138	0	Up/Up
O14548	COX7A2L	0.6803	0.0072	-0.3463	0	Down transcriptome/Up proteome
Q6P2C8	MED27	0.7141	0.0072	0.273	0.0023	Up/Up
Q8TC12	RDH11	-0.4412	0.0072	-0.7743	0	Down/Down
Q15398	DLGAP5	-0.2741	0.0072	-0.9044	0	Down/Down
Q9Y4K0	LOXL2	1.0425	0.0072	0.8196	0	Up/Up
O76075	DFFB	-0.6435	0.0073	-1.0221	0.0019	Down/Down
Q9NRX4	PHPT1	-0.5711	0.0073	-0.8693	0	Down/Down
Q9HCS5	EPB41L4A	-0.658	0.0073	-1.883	0.0058	Down/Down
O75643	SNRNP200	-0.2676	0.0074	0.654	0	Up transcriptome/Down proteome
Q9HCE9	ANO8	-0.8525	0.0074	0.3465	0.0179	Up transcriptome/Down proteome
Q96J42	TXNDC15	-0.6893	0.0074	-1.4318	0	Down/Down
Q9UHW5	GPN3	-0.6531	0.0074	-0.5802	3e-4	Down/Down
Q8WWM7	ATXN2L	-0.2703	0.0074	0.7189	0	Up transcriptome/Down proteome
Q96P70	IPO9	-0.2478	0.0074	0.3471	9e-4	Up transcriptome/Down proteome
Q4G0X4	KCTD21	0.2626	0.0074	0.3153	2e-4	Up/Up
Q7Z4Q2	HEATR3	-0.4873	0.0074	0.5296	0.0203	Up transcriptome/Down proteome
Q8IXQ3	C9orf40	-1.0427	0.0075	-0.476	0.0152	Down/Down
P08758	ANXA5	0.2318	0.0075	0.4917	0	Up/Up
Q9NYM9	BET1L	1.8647	0.0075	0.4953	0	Up/Up
Q8WUW1	BRK1	0.3142	0.0075	0.185	0.0157	Up/Up
Q7Z6Z7	HUWE1	0.2535	0.0075	0.3665	0.0011	Up/Up
Q04721	NOTCH2	0.7714	0.0076	0.4783	0	Up/Up
P30520	ADSS2	-0.2578	0.0076	-0.2483	0.0165	Down/Down
P53634	CTSC	-0.3369	0.0076	-0.5388	0	Down/Down
Q9UM19	HPCAL4	1.3563	0.0076	1.1703	1e-4	Up/Up
Q13111	CHAF1A	-0.5256	0.0076	1.1305	0	Up transcriptome/Down proteome
Q9Y5X2	SNX8	-0.8308	0.0076	0.6344	0	Up transcriptome/Down proteome
Q9NWU1	OXSM	-0.633	0.0076	-0.5661	0.0014	Down/Down
P10586	PTPRF	-0.4729	0.0077	-0.3935	0	Down/Down
Q9Y4H2	IRS2	0.4722	0.0078	0.3975	0	Up/Up
Q96FF9	CDCA5	-0.9329	0.0078	0.8446	0	Up transcriptome/Down proteome
Q9H1E5	TMX4	-0.8179	0.0078	-0.7606	0	Down/Down
Q96L93	KIF16B	-0.6916	0.0079	-0.7345	4e-4	Down/Down
P51452	DUSP3	0.5228	0.0079	0.4542	0	Up/Up
P56537	EIF6	0.2183	0.0079	0.882	0	Up/Up
P55789	GFER	0.5196	0.008	0.6486	0	Up/Up
P33316	DUT	0.2882	0.008	0.5725	0	Up/Up
O75190	DNAJB6	-0.3231	0.008	0.4892	0	Up transcriptome/Down proteome
P62942	FKBP1A	0.2809	0.008	0.7909	0	Up/Up
P11182	DBT	0.3223	0.008	-0.7594	0	Down transcriptome/Up proteome
Q12894	IFRD2	-0.7748	0.008	0.8428	0	Up transcriptome/Down proteome
Q5TDP6	LGSN	0.7351	0.008	-3.5438	1e-4	Down transcriptome/Up proteome
Q9NRR5	UBQLN4	-0.3093	0.0081	-0.5074	0	Down/Down
Q8N3Z3	GTPBP8	-1.4885	0.0081	0.5022	0	Up transcriptome/Down proteome
Q5VWQ8	DAB2IP	0.4252	0.0081	-0.5078	0	Down transcriptome/Up proteome
O00311	CDC7	-0.804	0.0082	-0.3095	0.043	Down/Down
O60502	OGA	-0.2815	0.0082	-0.6838	0	Down/Down
Q9BZE4	GTPBP4	-0.259	0.0082	0.6052	2e-4	Up transcriptome/Down proteome
Q8NHV4	NEDD1	-0.5281	0.0082	-0.8467	0	Down/Down
P25787	PSMA2	-0.2706	0.0082	-0.406	4e-4	Down/Down
O75907	DGAT1	0.6388	0.0082	0.3802	1e-4	Up/Up
P31947	SFN	0.3898	0.0082	1.1867	0	Up/Up
Q9H0K6	PUS7L	-0.8191	0.0082	-0.6103	0.0015	Down/Down
Q9NX63	CHCHD3	-0.6452	0.0083	0.593	0	Up transcriptome/Down proteome
P61619	SEC61A1	0.2391	0.0084	0.7221	0	Up/Up
P60891	PRPS1	-0.3163	0.0084	0.5774	0	Up transcriptome/Down proteome
Q14978	NOLC1	-0.3093	0.0084	0.7468	0	Up transcriptome/Down proteome
Q9BYT8	NLN	-0.2325	0.0084	-0.6044	0	Down/Down
Q08AM6	VAC14	0.3291	0.0084	0.2604	0.0079	Up/Up
Q9NRF9	POLE3	-0.3232	0.0085	0.3475	0	Up transcriptome/Down proteome
P29317	EPHA2	0.1699	0.0085	1.0947	0	Up/Up
Q96DN5	TBC1D31	-1.1339	0.0085	-0.6216	4e-4	Down/Down
Q9H173	SIL1	-0.2882	0.0085	-0.5478	4e-4	Down/Down
Q9NSV4	DIAPH3	-0.5303	0.0086	0.7016	0	Up transcriptome/Down proteome
Q92796	DLG3	-0.3607	0.0086	-0.7136	0	Down/Down
Q9UHF7	TRPS1	-0.5932	0.0086	-0.9602	0	Down/Down
Q6PJG2	MIDEAS	0.3228	0.0086	0.4819	7e-4	Up/Up
P46926	GNPDA1	-0.2111	0.0086	-0.4439	0	Down/Down
Q92551	IP6K1	-0.8486	0.0086	0.4725	0	Up transcriptome/Down proteome
Q15147	PLCB4	-0.2979	0.0086	-0.3812	0.0082	Down/Down
Q13405	MRPL49	0.3118	0.0086	0.6378	0	Up/Up
Q9UMN6	KMT2B	-0.6383	0.0087	0.2896	5e-4	Up transcriptome/Down proteome
O75528	TADA3	-0.5266	0.0088	0.3082	0.0078	Up transcriptome/Down proteome
Q9UHB7	AFF4	-0.6607	0.0088	-0.8679	0.0034	Down/Down
Q07352	ZFP36L1	-0.6414	0.0088	0.449	0	Up transcriptome/Down proteome
O75582	RPS6KA5	0.5952	0.0088	-0.6186	0.0351	Down transcriptome/Up proteome
Q53R41	FASTKD1	-0.5147	0.0088	-0.9319	0	Down/Down
P35790	CHKA	-0.4707	0.0088	-0.7938	4e-4	Down/Down
Q9Y3I0	RTCB	-0.181	0.0089	0.3101	1e-4	Up transcriptome/Down proteome
O95819	MAP4K4	-0.4613	0.0089	0.972	0	Up transcriptome/Down proteome
Q10570	CPSF1	-0.2416	0.0089	1.1248	0	Up transcriptome/Down proteome
Q05513	PRKCZ	-0.4631	0.0089	0.2845	0	Up transcriptome/Down proteome
Q9Y285	FARSA	-0.1891	0.0089	0.4056	0	Up transcriptome/Down proteome
Q8NAV1	PRPF38A	-0.8089	0.009	0.2378	0.0096	Up transcriptome/Down proteome
Q3SY69	ALDH1L2	-1.9163	0.0091	-3.8088	0	Down/Down
Q9P0K7	RAI14	0.2898	0.0091	-0.2681	0.0019	Down transcriptome/Up proteome
Q9HAV4	XPO5	-0.269	0.0091	0.5938	0	Up transcriptome/Down proteome
Q6PK18	OGFOD3	-0.3618	0.0091	0.4345	0	Up transcriptome/Down proteome
P53701	HCCS	0.4851	0.0092	0.5959	1e-4	Up/Up
Q13685	AAMP	0.3741	0.0093	0.7209	0	Up/Up
P09486	SPARC	-0.8082	0.0093	-3.6094	0	Down/Down
Q6PIJ6	FBXO38	-0.8644	0.0093	-0.3738	0.001	Down/Down
Q12923	PTPN13	-1.794	0.0093	-1.0949	0	Down/Down
Q9UHJ6	SHPK	0.3967	0.0094	1.0338	0	Up/Up
Q14192	FHL2	0.3429	0.0095	1.2672	0	Up/Up
Q9H078	CLPB	0.5628	0.0095	0.506	1e-4	Up/Up
Q9UM47	NOTCH3	-0.6056	0.0095	-0.8635	0	Down/Down
P15170	GSPT1	0.2273	0.0095	0.644	0	Up/Up
Q9BY11	PACSIN1	0.9442	0.0095	-1.2744	0	Down transcriptome/Up proteome
Q14697	GANAB	-0.1799	0.0095	-0.2883	0	Down/Down
P40925	MDH1	0.2356	0.0096	-0.3966	0	Down transcriptome/Up proteome
P21709	EPHA1	-0.5091	0.0096	-0.4031	1e-4	Down/Down
Q9Y263	PLAA	-0.2747	0.0096	0.166	0.0401	Up transcriptome/Down proteome
P05387	RPLP2	-0.2222	0.0096	0.4194	0	Up transcriptome/Down proteome
Q13438	OS9	-0.6118	0.0096	-1.1096	0	Down/Down
P18827	SDC1	0.679	0.0097	0.9984	0	Up/Up
Q494U1	PLEKHN1	0.9483	0.0097	0.919	0	Up/Up
Q9Y2W6	TDRKH	0.4923	0.0098	-0.7863	0	Down transcriptome/Up proteome
Q9Y5B9	SUPT16H	-0.1918	0.0098	0.3256	0	Up transcriptome/Down proteome
P23458	JAK1	-0.5212	0.0098	-0.389	0.0067	Down/Down
Q8N3U4	STAG2	-0.2784	0.0099	-0.2658	0.0415	Down/Down
O95807	TMEM50A	-0.5441	0.01	-0.4499	0	Down/Down
Q76N89	HECW1	0.2949	0.0101	-3.5423	0.0077	Down transcriptome/Up proteome
P53804	TTC3	-0.706	0.0101	-0.4636	0	Down/Down
O60684	KPNA6	0.6166	0.0101	0.4355	0	Up/Up
Q9Y383	LUC7L2	-0.3961	0.0101	0.4666	0	Up transcriptome/Down proteome
Q53EZ4	CEP55	-0.5395	0.0101	-0.1667	0.0378	Down/Down
Q9Y619	SLC25A15	-0.5833	0.0101	0.3844	0.0074	Up transcriptome/Down proteome
Q8NEJ9	NGDN	-0.5955	0.0102	0.4453	2e-4	Up transcriptome/Down proteome
Q86T82	USP37	-1.5988	0.0102	0.384	0.0081	Up transcriptome/Down proteome
O94952	FBXO21	-1.3298	0.0103	-0.5463	0.001	Down/Down
P09001	MRPL3	0.312	0.0103	0.5697	0	Up/Up
Q96PK6	RBM14	-0.2831	0.0103	0.4569	0	Up transcriptome/Down proteome
Q14145	KEAP1	-0.4417	0.0103	0.2638	0.0062	Up transcriptome/Down proteome
P15923	TCF3	-0.6597	0.0103	-0.175	0.0016	Down/Down
P21796	VDAC1	-0.4373	0.0104	-0.4226	0	Down/Down
P60953	CDC42	0.3132	0.0104	0.1969	0	Up/Up
Q96GE4	CEP95	-0.6341	0.0105	-0.6182	0	Down/Down
Q8N1S5	SLC39A11	0.5425	0.0105	-0.4752	1e-4	Down transcriptome/Up proteome
P84243	H3-3A	-0.7311	0.0105	0.795	0	Up transcriptome/Down proteome
P84243	H3-3A	-0.7311	0.0105	-0.2344	0.0046	Down/Down
Q9H7C4	SYNC	-1.5217	0.0105	-0.8441	1e-4	Down/Down
O95359	TACC2	0.3417	0.0105	-0.4738	7e-4	Down transcriptome/Up proteome
O14757	CHEK1	-1.0844	0.0105	0.4019	1e-4	Up transcriptome/Down proteome
O60333	KIF1B	-0.307	0.0105	-0.5009	0	Down/Down
Q7Z434	MAVS	0.2971	0.0106	0.4653	0	Up/Up
P51532	SMARCA4	-0.3683	0.0106	0.8537	0.0073	Up transcriptome/Down proteome
Q06609	RAD51	0.8185	0.0106	0.414	0.0016	Up/Up
Q15233	NONO	-0.2583	0.0106	0.3034	0.0016	Up transcriptome/Down proteome
Q969F9	HPS3	0.4631	0.0106	-0.4732	0	Down transcriptome/Up proteome
O15287	FANCG	-0.7804	0.0106	0.6998	0	Up transcriptome/Down proteome
Q8IZ21	PHACTR4	-0.5905	0.0106	-0.346	0.02	Down/Down
P12429	ANXA3	-0.141	0.0107	0.3093	1e-4	Up transcriptome/Down proteome
Q96EK6	GNPNAT1	0.4529	0.0107	0.3642	3e-4	Up/Up
O15347	HMGB3	-0.1894	0.0108	-0.2887	0.0019	Down/Down
Q9UNZ5	C19orf53	0.4624	0.0108	0.4689	0	Up/Up
A1A4S6	ARHGAP10	0.8178	0.0109	1.4991	0	Up/Up
P63000	RAC1	0.2709	0.0109	0.4113	0	Up/Up
Q92673	SORL1	-0.6858	0.0109	-1.0524	0	Down/Down
Q9P283	SEMA5B	-0.6926	0.0109	-3.2287	0	Down/Down
P61024	CKS1B	-0.4587	0.011	-0.2407	0.0128	Down/Down
Q9NY65	TUBA8	-0.4512	0.011	-2.6357	0	Down/Down
Q9BV57	ADI1	0.2175	0.011	0.3332	9e-4	Up/Up
P49366	DHPS	0.7556	0.011	0.2825	0.009	Up/Up
Q9Y265	RUVBL1	0.2016	0.0111	0.3367	0	Up/Up
Q9BUR5	APOO	-0.3881	0.0111	-0.4519	0.0112	Down/Down
P28065	PSMB9	0.7644	0.0111	-1.5	0	Down transcriptome/Up proteome
O95178	NDUFB2	-0.4469	0.0113	-0.3341	0.0125	Down/Down
Q05655	PRKCD	0.306	0.0113	-0.4688	1e-4	Down transcriptome/Up proteome
Q9BZL1	UBL5	-0.4577	0.0113	0.3501	0.0057	Up transcriptome/Down proteome
Q13555	CAMK2G	-0.4216	0.0114	0.2015	0.0341	Up transcriptome/Down proteome
Q9H0A0	NAT10	-0.2239	0.0114	0.5005	0	Up transcriptome/Down proteome
P48200	IREB2	-1.5269	0.0115	-0.5038	0	Down/Down
Q9Y262	EIF3L	-0.4338	0.0115	-0.2005	4e-4	Down/Down
Q5VST6	ABHD17B	-1.7642	0.0115	-0.6454	0.0011	Down/Down
Q9H3Q1	CDC42EP4	-0.5514	0.0116	-0.2069	0.0118	Down/Down
Q9Y3A2	UTP11	-0.5577	0.0116	0.2629	0.0084	Up transcriptome/Down proteome
Q86WP2	GPBP1	-1.1195	0.0116	-0.313	0.0197	Down/Down
Q53H12	AGK	0.2841	0.0116	1.889	0.0329	Up/Up
Q9UBX1	CTSF	0.5684	0.0116	0.3452	0.0037	Up/Up
P10606	COX5B	-0.2361	0.0117	-0.5543	0	Down/Down
Q9H4I2	ZHX3	1.7445	0.0118	2.0861	0	Up/Up
Q9NTK5	OLA1	0.2232	0.0118	0.21	0.0444	Up/Up
P45985	MAP2K4	0.3488	0.0118	0.2612	5e-4	Up/Up
Q8TB96	ITFG1	0.4782	0.0119	-0.6701	0.0074	Down transcriptome/Up proteome
Q9BZ67	FRMD8	-0.7328	0.0119	0.7188	0	Up transcriptome/Down proteome
O43294	TGFB1I1	-0.9364	0.0119	0.918	0	Up transcriptome/Down proteome
Q14566	MCM6	0.1935	0.0119	0.7144	0	Up/Up
Q9NR12	PDLIM7	-0.2295	0.0119	0.3952	0	Up transcriptome/Down proteome
Q9HC38	GLOD4	-0.2582	0.012	-0.6807	0.001	Down/Down
Q9UBI1	COMMD3	0.2763	0.012	-0.7404	0	Down transcriptome/Up proteome
Q9NYJ1	COA4	0.6913	0.0121	0.6889	0	Up/Up
P07339	CTSD	0.2475	0.0121	0.2346	0.0277	Up/Up
P62341	SELENOT	0.8105	0.0121	0.8698	0	Up/Up
Q86V85	GPR180	0.4758	0.0122	0.2794	0.0445	Up/Up
Q969S3	ZNF622	0.2565	0.0122	0.3679	0.003	Up/Up
Q8N6G5	CSGALNACT2	-0.4828	0.0123	-0.4401	0.0137	Down/Down
Q06587	RING1	-0.3635	0.0123	0.342	0	Up transcriptome/Down proteome
Q9H0G5	NSRP1	-0.8563	0.0124	-0.736	0	Down/Down
Q9Y6M4	CSNK1G3	-0.7478	0.0124	-0.5967	9e-4	Down/Down
